Course_Id,Course_Name,Course_Description,Course_MaxGrade,Course_MinGrade
1,GIS Concepts and Techniques,Understand geographic information systems and their applications.,100,50
2,Geo-Apps Development,Develop applications using geographic information systems data.,100,50
3,Remote Sensing and Digital Image Processing,Analyze and interpret remotely sensed data.,100,50
4,Analytical SQL,Master SQL for data analysis and querying.,100,50
5,Data Warehousing Fundamentals and Data Modeling,Learn to design and implement data warehouses.,100,50
6,Visualization & Storytelling using Tableau.,Create compelling data visualizations using Tableau.,100,50
7,Apache Hadoop,Understand and use Apache Hadoop for big data processing.,100,50
8,Red Hat System Administration,Gain expertise in administering Red Hat Enterprise Linux systems.,100,50
9,Network Design and Implementation,"Learn to design, implement, and manage computer networks.",100,50
10,Cloud Computing and Virtualization Foundations,Understand cloud computing concepts and virtualization technologies.,100,50
11,Data Center Infrastructure design,Design and implement efficient data center infrastructures.,100,50
12,cloud security,Learn to protect cloud environments from cyber threats.,100,50
13,Malware Analysis and Reverse Engineering,Learn to analyze and understand malicious software.,100,50
14,Web Penetration Testing,Master techniques for identifying and exploiting vulnerabilities in web applications.,100,50
15,JavaScript Design Patterns,Master JavaScript design patterns for efficient development.,100,50
16,HTML5 & CSS3,Build responsive and interactive web pages.,100,50
17,Angular NgRx and Reactive RxJS,Develop Angular applications using NgRx and RxJS.,100,50
18,Flutter Development,Build cross-platform mobile apps using Flutter.,100,50
19,Web API,Design and develop RESTful APIs.,100,50
20,PHP Web Frameworks,Develop web applications using PHP frameworks.,100,50
21,VueJS,Build user interfaces with Vue.js.,100,50
22,Power Platform & Dynamics 365 CE,Build custom business applications using Power Platform and Dynamics 365.,100,50
23,Microsoft SQL Server-Business Intelligence,Create business intelligence solutions using SQL Server.,100,50
24,.Net Design Patterns,Learn effective design patterns for .NET development.,100,50
25,Unity,Learn to create interactive 2D and 3D games and applications using Unity.,100,50
26,C++,Master the C++ programming language for building efficient and high-performance applications.,100,50
27,2D Animation Tools,Explore various 2D animation tools and techniques for creating engaging visuals.,100,50
28,Motion Graphics,Learn to design and create dynamic visual effects and animations for video and digital media.,100,50
29,Digital Art Styles and Techniques,Master different digital art styles and techniques to create stunning visual assets.,100,50
30,python,"Learn the basics of Python programming, including syntax, data structures, functions, and libraries, used for web development, data analysis, machine learning, and automation.",100,60
31,java,"Understand the fundamentals of Java programming, covering object-oriented principles, syntax, libraries, and applications in desktop, web, and mobile development.",100,55
