Exam_Id,Exam_Type,Exam_Date,Exam_StartTime,Exam_EndTime,Exam_TotalHours,Exam_Year,Exam_TotalGrades,Instructor_Id
1,Final,9/17/2024,9:00:00 AM,12:00:00 AM,3,2024,50,47
2,Midterm,10/3/2024,10:00:00 AM,12:00:00 AM,2,2024,50,47
3,Final,9/17/2024,9:00:00 AM,12:00:00 AM,3,2024,50,22
4,Midterm,10/3/2024,10:00:00 AM,12:00:00 AM,2,2024,50,22
5,Final,9/17/2024,9:00:00 AM,12:00:00 AM,3,2024,50,2
6,Midterm,10/3/2024,10:00:00 AM,12:00:00 AM,2,2024,50,2
7,Final,9/17/2024,9:00:00 AM,12:00:00 AM,3,2024,50,12
8,Midterm,10/3/2024,9:00:00 AM,12:00:00 AM,2,2024,50,12
9,Final,9/17/2024,10:00:00 AM,12:00:00 AM,3,2024,50,13
10,Midterm,10/3/2024,9:00:00 AM,12:00:00 AM,2,2024,50,13
11,Final,9/17/2024,10:00:00 AM,12:00:00 AM,3,2024,50,2
12,Midterm,10/3/2024,9:00:00 AM,12:00:00 AM,2,2024,50,2
13,Final,9/17/2024,10:00:00 AM,12:00:00 AM,3,2024,50,3
14,Midterm,10/3/2024,9:00:00 AM,12:00:00 AM,3,2024,50,3
15,Final,9/17/2024,9:00:00 AM,12:00:00 AM,2,2024,50,3
16,Midterm,10/3/2024,10:00:00 AM,12:00:00 AM,2,2024,50,3
17,Final,3/11/2023,9:00:00 AM,12:00:00 AM,3,2023,50,3
18,Midterm,9/5/2023,10:00:00 AM,12:00:00 AM,2,2023,50,3
19,Final,3/1/2024,9:00:00 AM,12:00:00 AM,3,2024,50,14
20,Midterm,8/26/2024,10:00:00 AM,12:00:00 AM,2,2024,40,14
21,Final,3/11/2023,9:00:00 AM,12:00:00 AM,3,2023,40,22
22,Midterm,9/5/2023,9:00:00 AM,12:00:00 AM,3,2023,40,22
23,Final,3/11/2023,10:00:00 AM,12:00:00 AM,2,2023,40,15
24,Midterm,9/5/2023,9:00:00 AM,12:00:00 AM,3,2023,40,15
25,Final,3/11/2023,10:00:00 AM,12:00:00 AM,2,2023,40,16
26,Midterm,9/5/2023,9:00:00 AM,12:00:00 AM,3,2023,40,16
27,Final,3/11/2023,10:00:00 AM,12:00:00 AM,2,2023,40,17
28,Midterm,3/11/2023,9:00:00 AM,12:00:00 AM,3,2023,40,17
29,Final,9/5/2023,9:00:00 AM,12:00:00 AM,3,2023,40,18
30,Midterm,3/11/2023,10:00:00 AM,12:00:00 AM,3,2023,40,18
31,Final,9/5/2023,9:00:00 AM,12:00:00 AM,2,2023,40,19
32,Midterm,3/11/2023,10:00:00 AM,12:00:00 AM,3,2023,40,19
33,Final,9/5/2023,9:00:00 AM,12:00:00 AM,2,2023,40,20
34,Midterm,3/11/2023,10:00:00 AM,12:00:00 AM,3,2023,40,20
35,Final,3/11/2023,9:00:00 AM,12:00:00 AM,2,2023,40,20
36,Midterm,2/7/2024,9:00:00 AM,12:00:00 AM,3,2024,40,20
37,Final,4/30/2023,10:00:00 AM,12:00:00 AM,2,2023,40,21
38,Midterm,7/21/2022,9:00:00 AM,12:00:00 AM,3,2022,30,21
39,Final,10/11/2021,10:00:00 AM,12:00:00 AM,2,2021,30,51
40,Midterm,1/1/2021,9:00:00 AM,12:00:00 AM,3,2021,30,51
41,Final,3/11/2023,10:00:00 AM,12:00:00 AM,2,2023,30,52
42,Midterm,2/7/2024,9:00:00 AM,12:00:00 AM,3,2024,30,52
43,Final,4/30/2023,9:00:00 AM,12:00:00 AM,3,2023,30,53
44,Midterm,7/21/2022,10:00:00 AM,12:00:00 AM,2,2024,30,53
45,Final,10/11/2021,9:00:00 AM,12:00:00 AM,2,2022,30,55
46,Midterm,1/1/2021,10:00:00 AM,12:00:00 AM,3,2021,30,55
47,Final,3/11/2023,9:00:00 AM,12:00:00 AM,2,2021,30,54
48,Midterm,3/11/2023,10:00:00 AM,12:00:00 AM,3,2021,30,54
49,Final,2/7/2024,9:00:00 AM,12:00:00 AM,2,2023,30,56
50,Midterm,4/30/2023,9:00:00 AM,12:00:00 AM,3,2023,30,56
51,Final,7/21/2022,10:00:00 AM,12:00:00 AM,3,2024,30,57
52,Midterm,9/17/2024,9:00:00 AM,12:00:00 AM,2,2024,30,57
53,Final,10/3/2024,10:00:00 AM,12:00:00 AM,3,2024,30,4
54,Midterm,9/17/2024,9:00:00 AM,12:00:00 AM,2,2024,30,4
55,Final,10/3/2024,10:00:00 AM,12:00:00 AM,3,2024,30,4
56,Midterm,9/17/2024,9:00:00 AM,12:00:00 AM,2,2024,30,4
57,Final,10/3/2024,9:00:00 AM,12:00:00 AM,3,2024,30,5
58,Midterm,9/17/2024,10:00:00 AM,12:00:00 AM,3,2024,30,5
59,Final,10/3/2024,9:00:00 AM,12:00:00 AM,3,2024,50,5
60,Midterm,9/17/2024,10:00:00 AM,12:00:00 AM,2,2024,50,5
61,Final,10/3/2024,9:00:00 AM,12:00:00 AM,3,2024,50,35
62,Midterm,9/17/2024,10:00:00 AM,12:00:00 AM,2,2024,50,35
63,Final,10/3/2024,9:00:00 AM,12:00:00 AM,3,2024,50,22
64,Midterm,9/17/2024,9:00:00 AM,12:00:00 AM,2,2024,50,22
65,Final,10/3/2024,10:00:00 AM,12:00:00 AM,3,2024,50,29
66,Midterm,9/17/2024,9:00:00 AM,12:00:00 AM,2,2024,50,29
67,Final,10/3/2024,10:00:00 AM,12:00:00 AM,3,2024,50,28
68,Midterm,3/11/2023,9:00:00 AM,12:00:00 AM,2,2024,50,28
69,Final,9/5/2023,10:00:00 AM,12:00:00 AM,3,2023,50,55
70,Midterm,3/1/2024,9:00:00 AM,12:00:00 AM,2,2024,50,55
71,Final,8/26/2024,9:00:00 AM,12:00:00 AM,3,2024,50,6
72,Midterm,3/11/2023,10:00:00 AM,12:00:00 AM,3,2023,50,6
73,Final,9/5/2023,9:00:00 AM,12:00:00 AM,2,2023,50,6
74,Midterm,3/11/2023,10:00:00 AM,12:00:00 AM,2,2023,50,6
75,Final,9/5/2023,9:00:00 AM,12:00:00 AM,3,2023,50,7
76,Midterm,3/11/2023,10:00:00 AM,12:00:00 AM,2,2023,50,7
77,Final,9/5/2023,9:00:00 AM,12:00:00 AM,3,2023,50,7
78,Midterm,3/11/2023,9:00:00 AM,12:00:00 AM,2,2023,50,7
79,Final,3/11/2023,10:00:00 AM,12:00:00 AM,3,2023,50,8
80,Midterm,9/5/2023,9:00:00 AM,12:00:00 AM,3,2023,50,8
81,Final,3/11/2023,10:00:00 AM,12:00:00 AM,2,2023,50,8
82,Midterm,9/5/2023,9:00:00 AM,12:00:00 AM,3,2023,50,8
83,Final,3/11/2023,10:00:00 AM,12:00:00 AM,2,2023,50,9
84,Midterm,9/5/2023,9:00:00 AM,12:00:00 AM,3,2023,50,9
85,Final,3/11/2023,9:00:00 AM,12:00:00 AM,2,2023,50,9
86,Midterm,3/11/2023,10:00:00 AM,12:00:00 AM,3,2023,50,9
87,Final,2/7/2024,9:00:00 AM,12:00:00 AM,3,2024,50,11
88,Midterm,4/30/2023,10:00:00 AM,12:00:00 AM,3,2023,50,11
89,Final,7/21/2022,9:00:00 AM,12:00:00 AM,2,2022,50,11
90,Midterm,10/11/2021,10:00:00 AM,12:00:00 AM,3,2021,50,11
91,Final,1/1/2021,9:00:00 AM,12:00:00 AM,2,2021,50,12
92,Midterm,3/11/2023,9:00:00 AM,12:00:00 AM,3,2023,50,12
93,Final,2/7/2024,10:00:00 AM,12:00:00 AM,2,2024,50,12
94,Midterm,4/30/2023,9:00:00 AM,12:00:00 AM,3,2022,50,12
95,Final,7/21/2022,10:00:00 AM,12:00:00 AM,2,2021,50,13
96,Midterm,10/11/2021,9:00:00 AM,12:00:00 AM,3,2021,50,13
97,Final,1/1/2021,10:00:00 AM,12:00:00 AM,2,2023,50,14
98,Midterm,3/11/2023,9:00:00 AM,12:00:00 AM,3,2023,50,14
99,Final,3/11/2023,9:00:00 AM,12:00:00 AM,2,2024,50,15
100,Midterm,2/7/2024,10:00:00 AM,12:00:00 AM,3,2024,50,15
101,Final,4/30/2023,9:00:00 AM,12:00:00 AM,3,2023,50,16
102,Midterm,7/21/2022,10:00:00 AM,12:00:00 AM,2,2022,50,16
103,Final,9/17/2024,9:00:00 AM,12:00:00 AM,2,2024,50,17
